name,port,date,rxb,txb,rxm,txm
el01gw02,1A_ETH_1,01/03/2016-22:30,406530,375570,0,0
el01gw02,1A_ETH_1,01/03/2016-22:45,380634,348786,0,0
el01gw02,1A_ETH_1,01/03/2016-23:00,370187,331448,0,0
el01gw02,1A_ETH_1,01/03/2016-23:15,351069,320453,0,0
el01gw02,1A_ETH_1,01/03/2016-23:30,309626,296918,0,0
el01gw02,1A_ETH_1,01/03/2016-23:45,296721,260100,0,0
el01gw02,1A_ETH_1,02/03/2016-00:00,313252,342622,0,0
el01gw02,1A_ETH_1,02/03/2016-00:15,258624,255266,0,0
el01gw02,1A_ETH_1,02/03/2016-00:30,215913,232836,0,0
el01gw02,1A_ETH_1,02/03/2016-00:45,214566,208411,0,0
el01gw02,1A_ETH_1,02/03/2016-01:00,325084,483968,0,0
el01gw02,1A_ETH_1,02/03/2016-01:15,303089,367761,0,0
el01gw02,1A_ETH_1,02/03/2016-01:30,260327,308740,0,0
el01gw02,1A_ETH_1,02/03/2016-01:45,260196,300562,0,0
el01gw02,1A_ETH_1,02/03/2016-02:00,265651,284242,0,0
el01gw02,1A_ETH_1,02/03/2016-02:15,266742,270069,0,0
el01gw02,1A_ETH_1,02/03/2016-02:30,328705,285111,0,0
el01gw02,1A_ETH_1,02/03/2016-02:45,352053,277204,0,0
el01gw02,1A_ETH_1,02/03/2016-03:00,354480,309700,0,0
el01gw02,1A_ETH_1,02/03/2016-03:15,371981,257658,0,0
el01gw02,1A_ETH_1,02/03/2016-03:30,350454,256678,0,0
el01gw02,1A_ETH_1,02/03/2016-03:45,387683,258681,0,0
el01gw02,1A_ETH_1,02/03/2016-04:00,349212,273328,0,0
el01gw02,1A_ETH_1,02/03/2016-04:15,376212,270011,0,0
el01gw02,1A_ETH_1,02/03/2016-04:30,356059,282693,0,0
el01gw02,1A_ETH_1,02/03/2016-04:45,353597,274718,0,0
el01gw02,1A_ETH_1,02/03/2016-05:00,353282,300387,0,0
el01gw02,1A_ETH_1,02/03/2016-05:15,402476,319817,0,0
el01gw02,1A_ETH_1,02/03/2016-05:30,409472,316029,0,0
el01gw02,1A_ETH_1,02/03/2016-05:45,436191,307660,0,0
el01gw02,1A_ETH_1,02/03/2016-06:00,461452,347354,0,0
el01gw02,1A_ETH_1,02/03/2016-06:15,510555,362950,0,0
el01gw02,1A_ETH_1,02/03/2016-06:30,551157,405128,0,0
el01gw02,1A_ETH_1,02/03/2016-06:45,600176,417074,0,0
el01gw02,1A_ETH_1,02/03/2016-07:00,648300,478876,0,0
el01gw02,1A_ETH_1,02/03/2016-07:15,704301,481089,0,0
el01gw02,1A_ETH_1,02/03/2016-07:30,708448,491904,0,0
el01gw02,1A_ETH_1,02/03/2016-07:45,751665,501772,0,0
el01gw02,1A_ETH_1,02/03/2016-08:00,947027,650708,0,0
el01gw02,1A_ETH_1,02/03/2016-08:15,977483,698449,0,0
el01gw02,1A_ETH_1,02/03/2016-08:30,1068413,767709,1,0
el01gw02,1A_ETH_1,02/03/2016-08:45,1033919,710569,0,0
el01gw02,1A_ETH_1,02/03/2016-09:00,1175370,873111,1,0
el01gw02,1A_ETH_1,02/03/2016-09:15,1112079,818806,1,0
el01gw02,1A_ETH_1,02/03/2016-09:30,1147552,834966,1,0
el01gw02,1A_ETH_1,02/03/2016-09:45,1283123,839039,1,0
el01gw02,1A_ETH_1,02/03/2016-10:00,1314065,974860,1,0
el01gw02,1A_ETH_1,02/03/2016-10:15,1401631,928894,1,0
el01gw02,1A_ETH_1,02/03/2016-10:30,1306118,925495,1,0
el01gw02,1A_ETH_1,02/03/2016-10:45,1252779,890805,1,0
el01gw02,1A_ETH_1,02/03/2016-11:00,1249184,896660,1,0
el01gw02,1A_ETH_1,02/03/2016-11:15,1203398,843871,1,0
el01gw02,1A_ETH_1,02/03/2016-11:30,1178882,862676,1,0
el01gw02,1A_ETH_1,02/03/2016-11:45,1232074,861053,1,0
el01gw02,1A_ETH_1,02/03/2016-12:00,1119450,840204,1,0
el01gw02,1A_ETH_1,02/03/2016-12:15,1133308,800918,1,0
el01gw02,1A_ETH_1,02/03/2016-12:30,1288277,838473,1,0
el01gw02,1A_ETH_1,02/03/2016-12:45,1141956,850083,1,0
el01gw02,1A_ETH_1,02/03/2016-13:00,1192009,858342,1,0
el01gw02,1A_ETH_1,02/03/2016-13:15,1075026,818444,1,0
el01gw02,1A_ETH_1,02/03/2016-13:30,1149983,826774,1,0
el01gw02,1A_ETH_1,02/03/2016-13:45,1231244,948974,1,0
el01gw02,1A_ETH_1,02/03/2016-14:00,1349858,986756,1,0
el01gw02,1A_ETH_1,02/03/2016-14:15,1217834,930961,1,0
el01gw02,1A_ETH_1,02/03/2016-14:30,1194465,881138,1,0
el01gw02,1A_ETH_1,02/03/2016-14:45,1194072,927022,1,0
el01gw02,1A_ETH_1,02/03/2016-15:00,1209565,1008635,1,0
el01gw02,1A_ETH_1,02/03/2016-15:15,1258455,977793,1,0
el01gw02,1A_ETH_1,02/03/2016-15:30,1201649,912622,1,0
el01gw02,1A_ETH_1,02/03/2016-15:45,1289019,949847,1,0
el01gw02,1A_ETH_1,02/03/2016-16:00,1238804,1030937,1,0
el01gw02,1A_ETH_1,02/03/2016-16:15,1279311,916010,1,0
el01gw02,1A_ETH_1,02/03/2016-16:30,1279883,980396,1,0
el01gw02,1A_ETH_1,02/03/2016-16:45,1253362,937336,1,0
el01gw02,1A_ETH_1,02/03/2016-17:00,1272979,984270,1,0
el01gw02,1A_ETH_1,02/03/2016-17:15,1306773,887754,1,0
el01gw02,1A_ETH_1,02/03/2016-17:30,1287783,947812,1,0
el01gw02,1A_ETH_1,02/03/2016-17:45,1282087,854432,1,0
el01gw02,1A_ETH_1,02/03/2016-18:00,1326247,877687,1,0
el01gw02,1A_ETH_1,02/03/2016-18:15,1417285,865111,1,0
el01gw02,1A_ETH_1,02/03/2016-18:30,1420183,922739,1,0
el01gw02,1A_ETH_1,02/03/2016-18:45,1431337,937371,1,0
el01gw02,1A_ETH_1,02/03/2016-19:00,1491043,953537,1,0
el01gw02,1A_ETH_1,02/03/2016-19:15,1409635,975550,1,0
el01gw02,1A_ETH_1,02/03/2016-19:30,1371711,983079,1,0
el01gw02,1A_ETH_1,02/03/2016-19:45,1363609,985986,1,0
el01gw02,1A_ETH_1,02/03/2016-20:00,1334967,977795,1,0
